Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type,Material,Taxa dated,Human,DatesUse,Error,Corrected/Raw,Corrected/Normalized 14C age, Corrected/Normalized Age,Delta 13C,Delta 13C source,Raw/Measured Age, Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Region
,41BX1621,Beta-219921,Unit 5 Levels 3 and 4 (99.79-99.59m) Feature 2,,charred material,,No,120,40,Corrected,120,40,-26.7,,150,,,,,,CTx
,41CV111,BETA-63002,"Unit #2, Feature #2, Depth 50-60cm",HEARTH,CHARCOAL,,No,130,90,Corrected,130,90,-25.7,measured,140,90,,,Fort Hood Database,,CTx
,41CV379,BETA-83347,"Unit #1, Feature #1, Depth 40-50cm",BRMI,CHARCOAL,OAK,No,130,60,Corrected,130,60,-23.2,measured,,,,,Fort Hood Database,,CTx
Buckhollow ,41KM16,Beta-305752,,,Charcoal,,No,130,30,Corrected,130,30,-26.7,measured,160,30,AMS,Sample: 41KM16-38-C2,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
,41LM51,UGA-14421,"Test Unit 2, 23 cmbs ",,Charcoal,,No,130,50,Corrected,130,50,-26.44,measured,150,50,AMS,,"Quigg, J. Michael, Matchen, Paul M., Ricklis, Robert A., Gray, Shannon, Frederick, Charles D., 2014, Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas, Index of Texas Archaeology: Open Access Gray Literature from the Lone Star State",Quigg 2014,CTx
Brackenridge Park Paddle Boats,41BX323,Beta-127003,"Area D, Unit 1, Level 6",,charred material,,No,130,60,Corrected,130,60,-25,,130,,,,,,CTx
,41CV115,UCIAMS-19138,"Unit #25R18, Feature #I (F6), Depth 1-6cm",,CHARCOAL,,No,135,15,Corrected,135,15,-24.4,measured,,,,,Fort Hood Database,,CTx
,41CV115,OxA-21509,"Unit #25.779R16.774, Feature #VI (F21), Depth 15-20cm",,CHARCOAL,,No,140,29,Corrected,140,29,-29,measured,,,,,Fort Hood Database,,CTx
Barton Site North,41HY202,Beta-34222,Feature 27,hearth,charcoal,,No,150,70,Corrected,150,70,,,170,70,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
,41BL991,BETA-153671,,,BONE,BISON bison,No,160,40,Corrected,160,40,-11.1,measured,,,AMS,,Fort Hood Database,,CTx
,41CV1030,BETA-102109,"Unit #8, Feature #2, Depth 146-160cm",BR CONCENTRATION,CHARCOAL,CELTIS LAEVIGATA,No,160,60,Corrected,160,60,-25.7,measured,,,Radiometric,,Fort Hood Database,,CTx
,41CV1505,BETA-73297,"Unit #1, Depth 12-17cm",,CHARCOAL,HARDWOOD,No,160,60,Corrected,160,60,-28.2,measured,210,60,AMS,,Fort Hood Database,,CTx
,41CX198,B-21619,F3 shovel test,,,,No,160,60,Corrected,160,60,,,,,Radiometric,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
Simms Creek,41LM113,D-AMS 019790,Lot 44,,Charcoal,,No,162,23,Corrected,162,23,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson et al. 2019, BTAS Vol. 90",,CTx
Brackenridge Park Paddle Boats Witte Parcel,41BX323,D-AMS-007783,CAR 339,,,,No,164,21,Corrected,164,21,-21.3,,194,,,,,,CTx
,41BL233,BETA-65259,,BRMO,BONE,,No,170,50,Corrected,170,50,-22.4,measured,130,,AMS,,Fort Hood Database,,CTx
,41CV594,BETA-64230,"Unit #2, Feature #2, Depth 10-20cm",BRMO,CHARCOAL,,No,170,70,Corrected,170,70,-27.2,measured,210,70,AMS,,Fort Hood Database,,CTx
,41CX131,Tx-2790,Area C,Midden,Charcoal,,No,170,50,Corrected,170,50,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
Varga ,41ED28,Beta-175401,"Fea. 25, Blk. B, Unit N127/E75, 25-35 cm",,Charcoal,,No,170,60,Corrected,170,60,-25.4,measured,170,60,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,CTx
,41CV1221,BETA-102130,"Unit #5, Depth 80-90cm",,CHARCOAL,,No,180,40,Corrected,180,40,-25.4,measured,,,AMS,,Fort Hood Database,,CTx
,41CV124,BETA-64228,"Unit #2, Feature #2, Depth 30-40cm",BRMO,CHARCOAL,,No,180,70,Corrected,180,70,-27.5,measured,220,70,AMS,,Fort Hood Database,,CTx
,41CV174,BETA-70658,Unit #5,,CHARCOAL/SOIL,,No,180,60,Corrected,180,60,-27.4,measured,,,,,Fort Hood Database,,CTx
Flatrock Road ,41KM69,UGA-13591,"Area 2, TU 8, Feature 2, 32cmbs",Hearth,Charcoal,,No,180,40,Corrected,180,40,-25.73,measured,190,40,AMS,Sample ID: 41KM69-402-7,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,CTx
,41LM50,UGA-14419,"Feature 2, 7 cmbs ",discard area,Charcoal,,No,180,40,Corrected,180,40,-25.7,measured,190,40,AMS,2 Sigma calibration given: AD 1640-1960,"Quigg, J. Michael, Matchen, Paul M., Ricklis, Robert A., Gray, Shannon, Frederick, Charles D., 2014, Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas, Index of Texas Archaeology: Open Access Gray Literature from the Lone Star State",Quigg 2014,CTx
Honey Creek,41MS32,CAMS-7466,burned rock midden ,Burned rock midden,Charcoal,coyotillo seeds,No,180,90,Corrected,180,90,,,,,AMS,,,,CTx
Honey Creek,41MS32,CAMS-7467,Feature 3,,Charcoal,persimmon fruit,No,180,60,Corrected,180,60,,,,,AMS,,,,CTx
Lackland Site #46,41BX1114,Beta-96368,Feature 1,,charred material,,No,180,50,Corrected,180,50,-25,,180,,,,,,CTx
,41BX254,Beta-260894,Unit 74 Feature 33,,charred material,,No,180,40,Corrected,180,40,-23.7,,160,,,,,,CTx
,41WM437,D-AMS-5608,Feature 2.1,,Charcoal,,No,189,25,Corrected,189,25,-19.5,measured,,,AMS,,"Kelly Pertulla database, CARD.  Rush et al. 2015 Dating the Upper Toyah Component at Rowe Valley (41WM437) or Establishing a New Temporal Context for Subsistence and Site Use at Rowe Valley. Bulletin of the Texas Archeological Society 86:109-130.",,CTx
Buckhollow ,41KM16,Tx-2855,,,,,No,190,30,Corrected,190,30,,,,,,,"Ricklis, R., 1994. Archaic and Late Prehistory Human Ecology in the Middle Onion Creek Valley, Hays County, Texas.�Studies in Archeology�19, TARL. Vol. 1 and 2.�",Ricklis1994.pdf,CTx
The Toyah Bluff Site,41TV441,Beta-130036,,,"Wood stake, charred material",,No,190,40,Corrected,,,-23.1,measured,190,40,,Sample wood stake,"Karbula, J. Feit, R., and Griffith, T. (2001). Changing Perspectives on the Toyah: Data Recovery Investigations of 41TV441, The Toyah Bluff Site Travis County, Texas. Hicks and Company Archeology Series No. 94",Karbula 2001,CTx
Medio Creek,41BX1421,Beta-163782,"Unit 1, Level 2",,charcoal,,No,190,80,Corrected,190,80,-23.9,,170,,,,,,CTx
,41BL564,BETA-73900,,BRMO,CHARCOAL,,No,200,60,Corrected,200,60,-24.7,measured,,,,,Fort Hood Database,,CTx
Graham/Applegate,41LL419,Beta-131441,charcoal near central hearth of house 1,hearth,Charcoal,,No,200,50,Corrected,200,50,,,,,AMS,,CARD March 2020 Database,,CTx
,41SS164,Beta-231562,"Zone 7, Feature 2, Test Unit 2, level 6",,Charred material ,Prosopis glandulosa,No,200,40,Corrected,200,40,-25.3,measured,200,40,AMS ,,"Bonine, Mindy L., Chavez, Michael R., Frederick, Charles, 2008, Significance Testing of Site 41SS164, San Saba County, Texas, Texas Department of Transportation, SWCA Enviornmental Consultants",Bonine 2008,CTx
Smith Rockshelter,41TV42,TX-504,,Rockshelter,,,No,200,70,Corrected,200,70,,,,,Radiometric,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
Simms Creek,41LM113,D-AMS 019789,Lot 41,,Charcoal,,No,207,29,Corrected,207,29,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson et al. 2019, BTAS Vol. 90",,CTx
Buckhollow,41KM16,Beta-30201,"Feature 16, Hearth",Hearth,Charcoal,,No,209,70,Corrected,209,70,-26.3,measured,230,70,Radiometric,,CARD March 2020 Database,,CTx
,41CX198,B-21620,"Unit 2, Level 2,�basin",Midden,,,No,210,50,Corrected,210,50,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
Smith Shelter,41TV42,TX-22,"From square N1-N2:B-C, 12-18 in, Layer 10",Rockshelter,charcoal,,No,210,70,Raw,,,,,210,70,,Smith Shelter 8 Associated with Eddy points,"Tamers, M.A., F.J. Pearson, and E. Davis. 1964. University of Texas Radiocarbon Dates 2. Radiocarbon Dating Laboratory, Balcones Research Center, The University of Texas. Radiocarbon, Vol 6:138-159. ",Tamers 1964,CTx
,41HY165,UCIAMS-81005,"Unit 2, Level 7, Quad SW, Depth 55-65 cm",,Molar,Bison bison,No,215,15,Corrected,215,15,-11.1,measured,,,AMS,"Field number 165-218-4, Right M1 or M2 with open roots, ?15N 8.6","Garber, J. Carol Leezer 2013. Prehistoric life along the banks of spring lake: Results and analysis of the Southwest Texas State Field schools (1996-1998) at 41 HY165, San Marcos, Hays County, Texas. Archaeological Studies report No 13",Garber 2013,CTx
,41WM437,D-AMS-5611,Feature 6.1,,Charcoal,,No,215,28,Corrected,215,28,-27.2,measured,,,AMS,,"Kelly Pertulla database, CARD.  Rush et al. 2015 Dating the Upper Toyah Component at Rowe Valley (41WM437) or Establishing a New Temporal Context for Subsistence and Site Use at Rowe Valley. Bulletin of the Texas Archeological Society 86:109-130.",,CTx
,41CX198,B-21617,"Unit 2, Level 2,�basin",Midden,,,No,220,70,Corrected,220,70,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
Zapotec,41HY163,UGAMS-4426,"Unit 18, Level 2",,Tooth enamel,Bison bison,No,220,25,Corrected,220,25,,,,,AMS,"Field number: 175-328, Tooth enamel sampled, enamel bioapatite","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,CTx
Buckhollow ,41KM16,Beta-305758,,,Charcoal,,No,220,30,Corrected,220,30,-23.9,measured,200,30,AMS,Sample: 41KM16-369-C9,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
Smith Rockshelter,41TV42,TX-510,,Rockshelter,,,No,220,70,Corrected,220,70,,,,,Radiometric,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
the Woodrow Heard Site,41UV88,CAMS- 14505,"Area A, Midden 3",Midden,Charcoal,Agarita wood,No,220,60,Corrected,220,60,-25.7,Measured,210,60,AMS, ,"Decker, Susan, Black, Stephen L., Gustavson, Thomas, 2000, The Woodrow Heard Site, 41UV88 A Holocene Terrace Site in the Western Balcones Canyonlands of Southwestern Texas, Studies in Archeology 33, Texas Archeological Research Laboratory, The University",Decker 2000,CTx
Woodrow Heard,41UV88,CAMS-14505,"Area A, Midden 3 , Midden", ,Charcoal,Agarita wood,No,220,60,Corrected,220,60,-25.7,Measured,210,60,AMS, ,"Kelly Pertulla database, CARD.  Decker, Susan, Black, Stephen L., Gustavson, Thomas, 2000, The Woodrow Heard Site, 41UV88 A Holocene Terrace Site in the Western Balcones Canyonlands of Southwestern Texas, Studies in Archeology 33, Texas Archeological Res", ,CTx
,41CX198,B-21610,"Unit 2, Level 2, basin",Midden,,,No,230,50,Corrected,230,50,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
Buckhollow,41KM16,Tx-2854,"Feature 15, hearth",hearth,Charcoal,,No,230,86,Corrected,230,86,-25.5,measured,230,50,Radiometric,,CARD March 2020 Database,,CTx
,41SS164,Beta-231563,"Zone 6, Test Units 1 and 2 ",,Charred material ,Quercus fusiformis ,No,230,40,Corrected,230,40,-25.6,measured,240,40,AMS ,,"Bonine, Mindy L., Chavez, Michael R., Frederick, Charles, 2008, Significance Testing of Site 41SS164, San Saba County, Texas, Texas Department of Transportation, SWCA Enviornmental Consultants",Bonine 2008,CTx
,41BX256,D-AMS 008854,Fea 32,,assume C3,,No,231,27,Corrected,231,27,-21.5,,259,,,,,,CTx
,41CV1553,BETA-136840,"Unit #4, Feature #3, Depth 14cm",HEARTH,CHARCOAL,OAK,No,240,50,Corrected,240,50,-25.9,measured,,,Radiometric,,Fort Hood Database,,CTx
Buckhollow ,41KM16,Beta-305751,,,Charcoal,,No,240,30,Corrected,240,30,-23.9,measured,220,30,AMS,Sample: 41KM16-26-C1,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
Buckhollow ,41KM16,Beta-305753,,,Charcoal,,No,240,30,Corrected,240,30,-23.5,measured,220,30,AMS,Sample: 41KM16-67-C3,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
Buckhollow ,41KM16,Beta-305757,,,Charcoal,,No,240,30,Corrected,240,30,-25.3,measured,240,30,AMS,Sample: 41KM16-368-C8,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
Little Paint Site,41KM226,Beta-234349,99.64m ,,Wood Charcoal,,No,240,40,Corrected,240,40,-25.4,measured,250,40,AMS,Sample: 41KM226-129-C2,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
,41MK27,Beta-130457,N 48-50/ E 32-34  Level 3 ,Midden ,bone collagen ,,No,240,40,Corrected,240,40,,,,,AMS,"100.3 modern +- .005, 240 +-40 BP","Irwin, Ann M., Houk, Brett A., Drake, Doug, et. al., 1999, Excavations at the Bluff Creek Sites: 41MK10 and 41MK27, McCulloch County, Texas, Texas Depatment of Transportation, SWCA, Inc. Environmental Consultants",Irwin 1999,CTx
Smith Shelter,41TV42,TX-21,"From square N1-N2:B-C, 18-24 in, Layers 11-10",Rockshelter,charcoal,,No,240,140,Raw,,,,,240,140,,Smith Shelter 7,"Tamers, M.A., F.J. Pearson, and E. Davis. 1964. University of Texas Radiocarbon Dates 2. Radiocarbon Dating Laboratory, Balcones Research Center, The University of Texas. Radiocarbon, Vol 6:138-159. ",Tamers 1964,CTx
Smith Rockshelter,41TV42,TX-509,,Rockshelter,,,No,240,70,Corrected,240,70,,,,,Radiometric,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,CTx
,41WM437,D-AMS-5612,Feature 11.1,,Charcoal,,No,246,23,Corrected,246,23,-25.7,measured,,,AMS,,"Kelly Pertulla database, CARD.  Rush et al. 2015 Dating the Upper Toyah Component at Rowe Valley (41WM437) or Establishing a New Temporal Context for Subsistence and Site Use at Rowe Valley. Bulletin of the Texas Archeological Society 86:109-130.",,CTx
,41BL773,BETA-83253,,,CHARCOAL,WILLOW,No,250,60,Corrected,250,60,-29,measured,,,,,Fort Hood Database,,CTx
,41HY165,UCIAMS-81002,"Unit 2, Level 3, Quad SW, Depth 13-23 cm",,Premolar,Bison bison,No,250,15,Corrected,250,15,-9.4,measured,,,AMS,"Field number 165-60-16, Right Premolar 4, ?15N 8.9","Garber, J. Carol Leezer 2013. Prehistoric life along the banks of spring lake: Results and analysis of the Southwest Texas State Field schools (1996-1998) at 41 HY165, San Marcos, Hays County, Texas. Archaeological Studies report No 13",Garber 2013,CTx
Buckhollow ,41KM16,Beta-305754,,,Charcoal,,No,250,30,Corrected,250,30,-25.9,measured,260,30,AMS,Sample: 41KM16-105-C4,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
Little Paint Site,41KM226,Beta-234348,99.7m,,Wood Charcoal,,No,250,40,Corrected,250,40,-23.2,measured,220,40,AMS,Sample: 41KM226-127-C1,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,CTx
the Woodrow Heard Site,41UV88,CAMS-14497,"Area A, near Feature 12, Level 5", ,Charcoal,Elm wood,No,250,60,Corrected,250,60,-25.2,Measured,250,60,AMS, ,"Decker, Susan, Black, Stephen L., Gustavson, Thomas, 2000, The Woodrow Heard Site, 41UV88 A Holocene Terrace Site in the Western Balcones Canyonlands of Southwestern Texas, Studies in Archeology 33, Texas Archeological Research Laboratory, The University",Decker 2000,CTx
,41WM437,D-AMS-5614,Feature 4.3,,Charcoal,,No,257,24,Corrected,257,24,-24.3,measured,,,AMS,,"Kelly Pertulla database, CARD.  Rush et al. 2015 Dating the Upper Toyah Component at Rowe Valley (41WM437) or Establishing a New Temporal Context for Subsistence and Site Use at Rowe Valley. Bulletin of the Texas Archeological Society 86:109-130.",,CTx
,41CV587,BETA-74467,"Unit #3, Feature #2, Depth 260�70cm",BR HEARTH BASION-SHAPED,CHARCOAL,,No,260,70,Corrected,260,70,-27.5,measured,,,,,Fort Hood Database,,CTx
,41CX131,Tx-2791,Area C,Midden,Charcoal,,No,260,50,Corrected,260,50,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,CTx
,41CX198,B-21613,"Unit 1, Level 1, basin",Midden,,,No,260,50,Corrected,260,50,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,CTx
Buckhollow,41KM16,Tx-2852,"Feature 16, hearth",hearth,Charcoal,,No,260,92,Corrected,260,92,-25.5,measured,260,60,Radiometric,,CARD March 2020 Database,,CTx
Honey Creek,41MS32,CAMS-7453,Feature 7,,Charcoal,,No,260,50,Corrected,260,50,,,,,AMS,,,,CTx
,41SS164,Beta-231560,"Zone 6, Test Units 1 and 2 ",,Charred material ,Quercus fusiformis ,No,260,40,Corrected,260,40,-25.9,measured,270,40,AMS ,,"Bonine, Mindy L., Chavez, Michael R., Frederick, Charles, 2008, Significance Testing of Site 41SS164, San Saba County, Texas, Texas Department of Transportation, SWCA Enviornmental Consultants",Bonine 2008,CTx
